Employee ID,Employee Name,Month,Base Salary,Total Sales,Sales Commission,Bonus,Total Salary
101,John Doe,Jan-24,57746,68393,14.00%,2281,69603.55515072079
101,John Doe,Feb-24,58741,73202,10.57%,2952,69432.73697114475
101,John Doe,Mar-24,47120,56438,9.59%,532,53065.56656715451
101,John Doe,Apr-24,50982,84540,9.19%,572,59319.73084614352
102,Jane Smith,Jan-24,46571,59357,8.40%,2187,53741.24219625066
102,Jane Smith,Feb-24,43184,66908,10.88%,2465,52931.49921835046
102,Jane Smith,Mar-24,45365,50274,9.59%,2600,52788.17240672576
102,Jane Smith,Apr-24,46387,111579,9.81%,1403,58740.27207644291
103,Alice Johnson,Jan-24,44206,103757,10.10%,1705,56387.005690284146
103,Alice Johnson,Feb-24,56699,59652,7.64%,1089,62343.92786572068
103,Alice Johnson,Mar-24,46642,68523,6.36%,951,51948.57266480738
103,Alice Johnson,Apr-24,48648,61413,10.73%,2460,57698.4295244495
104,Bob Brown,Jan-24,57442,95312,7.41%,774,65282.80154074131
104,Bob Brown,Feb-24,47659,62160,5.20%,662,51552.69455276213
104,Bob Brown,Mar-24,41228,58749,14.65%,555,50388.81231928879
104,Bob Brown,Apr-24,41185,53321,8.11%,594,46104.6637354665
